epoch,leader,node,chain_height,finalized_height
1,0,0,1,0
1,0,1,1,0
1,0,2,1,0
1,0,3,1,0
1,0,4,1,0
1,0,5,1,0
1,0,6,1,0
2,0,0,2,0
2,0,1,2,0
2,0,2,2,0
2,0,3,2,0
2,0,4,2,0
2,0,5,2,0
2,0,6,2,0
3,4,0,3,2
3,4,1,3,2
3,4,2,3,2
3,4,3,3,2
3,4,4,3,2
3,4,5,3,2
3,4,6,3,2
4,5,0,4,3
4,5,1,4,3
4,5,2,4,3
4,5,3,4,3
4,5,4,4,3
4,5,5,4,3
4,5,6,4,3
5,5,0,5,4
5,5,1,5,4
5,5,2,5,4
5,5,3,5,4
5,5,4,5,4
5,5,5,5,4
5,5,6,5,4
6,1,0,6,5
6,1,1,6,5
6,1,2,6,5
6,1,3,6,5
6,1,4,6,5
6,1,5,6,5
6,1,6,6,5
7,5,0,7,6
7,5,1,7,6
7,5,2,7,6
7,5,3,7,6
7,5,4,7,6
7,5,5,7,6
7,5,6,7,6
8,1,0,8,7
8,1,1,8,7
8,1,2,8,7
8,1,3,8,7
8,1,4,8,7
8,1,5,8,7
8,1,6,8,7
9,1,0,9,8
9,1,1,9,8
9,1,2,9,8
9,1,3,9,8
9,1,4,9,8
9,1,5,9,8
9,1,6,9,8
10,3,0,10,9
10,3,1,10,9
10,3,2,10,9
10,3,3,10,9
10,3,4,10,9
10,3,5,10,9
10,3,6,10,9
11,4,0,11,10
11,4,1,11,10
11,4,2,11,10
11,4,3,11,10
11,4,4,11,10
11,4,5,11,10
11,4,6,11,10
12,2,0,12,11
12,2,1,12,11
12,2,2,12,11
12,2,3,12,11
12,2,4,12,11
12,2,5,12,11
12,2,6,12,11
13,1,0,13,12
13,1,1,13,12
13,1,2,13,12
13,1,3,13,12
13,1,4,13,12
13,1,5,13,12
13,1,6,13,12
14,2,0,14,13
14,2,1,14,13
14,2,2,14,13
14,2,3,14,13
14,2,4,14,13
14,2,5,14,13
14,2,6,14,13
15,6,0,15,14
15,6,1,15,14
15,6,2,15,14
15,6,3,15,14
15,6,4,15,14
15,6,5,15,14
15,6,6,15,14
16,0,0,16,15
16,0,1,16,15
16,0,2,16,15
16,0,3,16,15
16,0,4,16,15
16,0,5,16,15
16,0,6,16,15
17,3,0,17,16
17,3,1,17,16
17,3,2,17,16
17,3,3,17,16
17,3,4,17,16
17,3,5,17,16
17,3,6,17,16
18,5,0,18,17
18,5,1,18,17
18,5,2,18,17
18,5,3,18,17
18,5,4,18,17
18,5,5,18,17
18,5,6,18,17
19,2,0,19,18
19,2,1,19,18
19,2,2,19,18
19,2,3,19,18
19,2,4,19,18
19,2,5,19,18
19,2,6,19,18
20,0,0,20,19
20,0,1,20,19
20,0,2,20,19
20,0,3,20,19
20,0,4,20,19
20,0,5,20,19
20,0,6,20,19
